employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score
3387,Procurement,region_15,Bachelor's,f,other,1,36,3.0,3,0,69
67479,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,31,5.0,4,0,51
8070,Operations,region_13,Bachelor's,f,sourcing,1,40,3.0,13,0,63
46497,Analytics,region_26,Bachelor's,m,other,1,31,1.0,4,0,85
54990,Operations,region_28,Bachelor's,m,sourcing,1,24,,1,0,55
71605,Procurement,region_1,Master's & above,f,other,1,32,3.0,6,0,66
64369,Technology,region_2,Bachelor's,m,referred,2,30,3.0,2,0,76
5112,Operations,region_2,Bachelor's,f,other,1,33,5.0,8,0,76
42949,Operations,region_29,Master's & above,m,other,1,46,1.0,19,0,59
52595,Technology,region_10,Bachelor's,m,other,1,32,5.0,5,0,81
60853,Technology,region_15,Bachelor's,f,sourcing,1,35,3.0,7,0,80
62317,HR,region_30,Bachelor's,m,other,1,28,3.0,4,0,50
11473,Finance,region_31,Bachelor's,f,sourcing,1,26,3.0,2,0,64
52773,Operations,region_7,Master's & above,m,sourcing,1,32,3.0,7,0,60
58299,Procurement,region_13,Bachelor's,m,sourcing,1,31,4.0,6,0,70
57779,Sales & Marketing,region_15,Master's & above,m,sourcing,1,41,3.0,4,0,48
25769,Analytics,region_32,Bachelor's,m,other,1,35,5.0,8,0,86
53456,Sales & Marketing,region_17,Bachelor's,m,other,1,32,3.0,4,0,48
56183,Analytics,region_4,Master's & above,m,sourcing,3,37,5.0,9,1,89
15517,HR,region_13,Bachelor's,m,other,1,29,5.0,1,0,52
35895,Procurement,region_16,Bachelor's,f,other,1,59,4.0,15,0,65
65889,Procurement,region_16,Bachelor's,f,sourcing,1,45,5.0,8,0,66
43898,Finance,region_2,Bachelor's,m,other,1,37,3.0,4,0,56
68216,Finance,region_29,Bachelor's,m,sourcing,1,30,3.0,4,0,60
22408,Sales & Marketing,region_33,Bachelor's,m,other,1,30,5.0,3,0,51
69239,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,25,1.0,2,0,50
74959,HR,region_15,Bachelor's,m,other,1,32,4.0,10,0,47
66303,Analytics,region_29,Bachelor's,m,sourcing,1,29,4.0,6,0,84
49346,Procurement,region_2,Bachelor's,f,sourcing,1,59,3.0,15,0,67
19289,Operations,region_7,Bachelor's,f,sourcing,1,31,4.0,7,0,90
37271,Sales & Marketing,region_4,Master's & above,m,other,1,41,2.0,5,0,50
5667,Sales & Marketing,region_11,Master's & above,m,other,1,55,3.0,8,0,55
44432,Technology,region_2,Bachelor's,f,other,1,58,2.0,5,0,76
9431,Technology,region_22,Master's & above,f,sourcing,1,35,1.0,4,0,81
38109,Technology,region_7,Bachelor's,m,other,1,33,3.0,9,0,82
18986,Procurement,region_31,Master's & above,f,sourcing,1,34,3.0,2,0,67
37533,Procurement,region_2,Master's & above,m,sourcing,2,50,3.0,3,0,69
66764,Sales & Marketing,region_25,Bachelor's,m,other,2,28,5.0,2,0,53
55045,Analytics,region_7,,m,other,2,34,4.0,4,0,88
33774,Analytics,region_31,Bachelor's,m,other,1,24,3.0,2,0,81
63381,HR,region_13,Master's & above,f,other,1,44,1.0,15,0,45
33591,Sales & Marketing,region_9,,m,other,1,33,3.0,4,0,49
28537,Sales & Marketing,region_4,Bachelor's,m,sourcing,2,49,3.0,16,0,52
76188,Operations,region_31,Bachelor's,m,sourcing,1,27,3.0,2,0,58
57849,Analytics,region_7,Bachelor's,m,sourcing,1,31,3.0,7,0,83
73869,Procurement,region_2,Bachelor's,m,other,1,48,5.0,7,0,75
11828,Operations,region_27,Bachelor's,m,other,1,41,1.0,13,0,62
20458,Operations,region_20,Master's & above,m,other,1,38,4.0,4,0,62
64546,HR,region_20,Bachelor's,m,sourcing,1,27,5.0,5,0,55
13950,Technology,region_15,Bachelor's,m,other,1,29,5.0,4,0,83
9109,Technology,region_2,Bachelor's,m,referred,1,40,4.0,14,0,78
11721,R&D,region_29,Bachelor's,m,other,2,29,2.0,5,0,82
74761,Sales & Marketing,region_25,Master's & above,m,sourcing,1,34,3.0,4,0,48
10362,Technology,region_23,Bachelor's,m,sourcing,2,28,3.0,4,0,78
42489,Operations,region_15,Bachelor's,m,other,2,53,4.0,25,0,62
55918,Procurement,region_8,Master's & above,m,other,1,31,3.0,3,0,71
358,Technology,region_22,Bachelor's,m,other,1,26,3.0,3,0,80
75634,Technology,region_2,Master's & above,f,other,1,60,5.0,33,0,80
16712,Sales & Marketing,region_23,Bachelor's,m,other,1,33,3.0,2,0,50
52827,HR,region_2,Bachelor's,m,sourcing,1,55,3.0,10,0,47
48324,R&D,region_7,Bachelor's,m,sourcing,1,36,5.0,4,0,84
26577,Analytics,region_11,Bachelor's,m,other,1,30,2.0,7,0,98
7648,Operations,region_2,Bachelor's,f,sourcing,1,54,5.0,16,0,60
46635,Sales & Marketing,region_2,Bachelor's,f,other,1,43,3.0,13,0,57
59653,Operations,region_22,Master's & above,f,other,2,43,5.0,5,0,63
40194,Finance,region_2,Master's & above,m,other,1,38,1.0,10,0,63
36983,Operations,region_2,Master's & above,f,sourcing,1,51,2.0,4,0,58
31833,Sales & Marketing,region_10,Master's & above,m,other,1,40,3.0,7,0,48
44607,Operations,region_6,Bachelor's,f,other,2,26,,1,0,58
62726,Technology,region_2,Bachelor's,m,sourcing,1,32,5.0,9,0,78
58073,Sales & Marketing,region_22,Bachelor's,m,sourcing,2,29,4.0,3,0,61
18560,Procurement,region_22,Master's & above,m,other,1,35,1.0,3,0,70
58569,Procurement,region_2,Below Secondary,m,sourcing,2,20,3.0,2,0,74
29343,Procurement,region_15,Master's & above,m,sourcing,1,34,1.0,3,0,72
71070,Finance,region_2,Bachelor's,m,other,1,34,3.0,7,0,58
71985,Analytics,region_2,Bachelor's,m,other,2,60,5.0,34,0,87
70046,Operations,region_23,Bachelor's,m,other,2,34,5.0,7,0,57
35632,Finance,region_2,Bachelor's,f,sourcing,1,32,3.0,4,0,61
7614,Technology,region_4,Bachelor's,m,other,2,30,5.0,5,0,86
66815,Procurement,region_10,Master's & above,m,other,4,35,3.0,10,0,69
60011,Sales & Marketing,region_2,Master's & above,f,sourcing,2,45,2.0,14,0,51
58875,Operations,region_28,Bachelor's,m,other,1,38,3.0,11,0,59
45095,R&D,region_31,Bachelor's,m,sourcing,2,28,,1,0,83
70302,Sales & Marketing,region_32,,m,sourcing,2,27,3.0,3,0,50
59973,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,43,3.0,16,0,48
64222,Procurement,region_2,Master's & above,f,other,1,43,3.0,6,0,72
3966,Procurement,region_30,Bachelor's,f,other,1,33,5.0,2,0,69
35903,Finance,region_13,Master's & above,m,sourcing,1,40,5.0,4,0,58
12611,Sales & Marketing,region_2,Bachelor's,f,other,2,39,1.0,10,0,49
21275,Sales & Marketing,region_2,Bachelor's,m,other,2,38,2.0,4,0,49
56958,Operations,region_13,Master's & above,m,sourcing,1,47,3.0,19,0,58
13333,Analytics,region_29,Bachelor's,m,other,2,31,1.0,4,0,84
63765,Sales & Marketing,region_2,Bachelor's,m,other,1,36,5.0,8,0,51
70999,Procurement,region_23,Bachelor's,m,other,1,35,5.0,4,0,69
10258,Sales & Marketing,region_11,Master's & above,m,other,2,39,5.0,14,0,52
47955,Procurement,region_2,Bachelor's,m,sourcing,1,38,3.0,13,0,72
20897,Sales & Marketing,region_4,Master's & above,m,sourcing,1,44,5.0,8,0,49
51659,Procurement,region_2,Master's & above,m,sourcing,1,44,1.0,6,0,67
65462,Sales & Marketing,region_32,Bachelor's,m,sourcing,2,26,1.0,2,1,46
40348,HR,region_23,Bachelor's,m,other,2,32,3.0,6,0,49
11578,Technology,region_4,Master's & above,f,other,1,43,3.0,6,0,77
25643,Operations,region_22,Bachelor's,m,other,1,48,1.0,10,0,57
40507,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,32,1.0,6,0,53
48036,Operations,region_8,Bachelor's,f,sourcing,1,33,2.0,6,0,62
3085,HR,region_2,Bachelor's,f,other,1,25,4.0,1,0,48
28029,Technology,region_26,Bachelor's,f,sourcing,1,29,,1,0,82
23579,Procurement,region_25,Master's & above,f,sourcing,2,32,4.0,3,0,72
34992,Sales & Marketing,region_2,Bachelor's,m,referred,1,45,5.0,5,0,50
32391,Analytics,region_15,,m,sourcing,1,28,3.0,2,0,86
40963,Technology,region_2,Bachelor's,m,other,1,53,5.0,25,0,78
67454,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,32,5.0,3,0,48
1132,Procurement,region_16,Master's & above,m,other,1,42,2.0,5,0,69
678,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,31,4.0,7,0,49
65294,Technology,region_22,Bachelor's,m,other,1,26,5.0,2,1,78
15377,Sales & Marketing,region_33,Master's & above,m,sourcing,1,37,3.0,2,0,48
9675,Technology,region_29,Bachelor's,m,other,1,30,4.0,7,0,79
42611,Technology,region_16,Bachelor's,m,other,1,23,4.0,2,0,80
36508,Sales & Marketing,region_28,Bachelor's,m,other,2,28,3.0,5,0,47
24186,Operations,region_12,Bachelor's,f,sourcing,1,27,5.0,2,0,54
41846,Sales & Marketing,region_2,Bachelor's,m,referred,1,32,3.0,8,0,55
71630,Technology,region_27,Bachelor's,f,other,1,29,3.0,2,0,85
29152,Operations,region_22,Bachelor's,f,other,1,34,5.0,6,0,74
1963,Finance,region_2,Bachelor's,m,other,1,42,4.0,7,0,62
43573,Sales & Marketing,region_2,Bachelor's,f,other,1,43,3.0,14,0,51
71316,Sales & Marketing,region_7,Bachelor's,m,other,1,26,3.0,2,0,49
42712,Sales & Marketing,region_32,Bachelor's,m,other,1,29,1.0,3,0,50
66312,Technology,region_15,Bachelor's,m,sourcing,4,28,1.0,7,0,78
10177,Technology,region_2,,f,sourcing,1,32,4.0,7,0,77
49751,Operations,region_12,Bachelor's,f,other,2,27,5.0,5,0,59
39358,Procurement,region_27,Bachelor's,m,other,1,33,5.0,3,0,74
51292,HR,region_2,Bachelor's,f,other,1,49,5.0,22,0,50
22091,Procurement,region_2,Bachelor's,f,sourcing,1,51,3.0,4,0,72
20268,Procurement,region_26,Bachelor's,m,other,2,28,5.0,3,0,71
7889,Operations,region_7,Master's & above,m,sourcing,2,33,3.0,4,0,63
72813,Sales & Marketing,region_7,Bachelor's,m,other,2,40,4.0,9,0,64
75331,Technology,region_22,Bachelor's,m,sourcing,1,30,5.0,4,0,81
60175,Analytics,region_22,Bachelor's,m,other,1,28,5.0,8,0,87
52972,Finance,region_26,Bachelor's,m,sourcing,1,37,3.0,7,0,58
53501,Procurement,region_2,Master's & above,m,other,1,51,3.0,19,0,66
65166,Sales & Marketing,region_7,Master's & above,f,other,1,45,1.0,14,0,49
2453,Sales & Marketing,region_17,Bachelor's,m,other,1,27,,1,0,47
66197,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,28,4.0,2,0,48
